index,pollen_score,tagid,starttime,endtime,event
75,0.0078760882058838,1621,2017-06-21 08:00:09.750,2017-06-21 08:00:10.600,NV
83,0.0003324809881064,1621,2017-06-21 08:00:10.650,2017-06-21 08:00:10.800,entering
85,0.0389416404480891,1621,2017-06-21 08:00:10.850,2017-06-21 08:00:11.200,entering
4901,0.0008883074387808,1621,2017-06-21 08:10:33.850,2017-06-21 08:10:34.750,leaving
11844,0.0099945841429871,1621,2017-06-21 08:24:48.050,2017-06-21 08:24:48.200,entering
11845,0.083803500830254,1621,2017-06-21 08:24:48.250,2017-06-21 08:24:48.450,entering
26592,0.0837678167487983,1621,2017-06-21 08:51:22.450,2017-06-21 08:51:23.400,leaving
26598,0.3344268702248275,1621,2017-06-21 08:51:23.450,2017-06-21 08:51:24.050,leaving
29120,4.193440622657363e-05,1621,2017-06-21 08:55:47.850,2017-06-21 08:55:47.950,leaving
29129,3.281548363667984e-05,1621,2017-06-21 08:55:48.300,2017-06-21 08:55:48.600,NV
37480,1.83259684032322e-05,1621,2017-06-21 09:12:41.300,2017-06-21 09:12:41.650,NV
37484,0.002156708667826,1621,2017-06-21 09:12:41.700,2017-06-21 09:12:41.850,entering
37487,0.007766321521156,1621,2017-06-21 09:12:41.900,2017-06-21 09:12:42.900,entering
43337,0.000174515731868,1621,2017-06-21 09:27:15.300,2017-06-21 09:27:15.500,leaving
53340,0.0004439187855923,1621,2017-06-21 10:03:14.500,2017-06-21 10:03:14.800,entering
53344,8.102049080818685e-06,1621,2017-06-21 10:03:14.850,2017-06-21 10:03:15.200,entering
61381,0.1015824355417862,1621,2017-06-21 10:48:32.250,2017-06-21 10:48:32.850,leaving
61383,4.755180964508554e-05,1621,2017-06-21 10:48:33.200,2017-06-21 10:48:33.400,leaving
61387,6.81140437240871e-05,1621,2017-06-21 10:48:33.700,2017-06-21 10:48:35.350,leaving
70358,0.1338439953143423,1621,2017-06-21 11:35:05.050,2017-06-21 11:35:05.500,NV
70360,0.0435294912313111,1621,2017-06-21 11:35:05.550,2017-06-21 11:35:05.700,entering
70361,0.0381931661504495,1621,2017-06-21 11:35:05.750,2017-06-21 11:35:05.900,entering
71418,0.1021031856348633,1621,2017-06-21 11:43:23.500,2017-06-21 11:43:24.300,leaving
71420,1.3830731457994527e-05,1621,2017-06-21 11:43:24.350,2017-06-21 11:43:24.950,leaving
71422,2.038990504216187e-12,1621,2017-06-21 11:43:25.300,2017-06-21 11:43:25.400,leaving
81031,0.0215828964835656,1621,2017-06-21 12:41:51.500,2017-06-21 12:41:53.000,entering
156410,0.0157360732029108,1621,2017-06-21 16:19:10.850,2017-06-21 16:19:14.000,leaving
156434,0.0177514207469566,1621,2017-06-21 16:19:13.700,2017-06-21 16:19:17.500,NV
167395,6.1928271388416486e-06,1621,2017-06-21 16:31:35.450,2017-06-21 16:31:35.750,leaving
167401,0.1101340523307174,1621,2017-06-21 16:31:35.850,2017-06-21 16:31:36.150,NV
170299,0.1101819535852476,1621,2017-06-21 16:36:12.450,2017-06-21 16:36:13.250,entering
172122,0.0019350805947789,1621,2017-06-21 16:39:12.000,2017-06-21 16:39:13.200,leaving
172130,0.0731857498822818,1621,2017-06-21 16:39:13.350,2017-06-21 16:39:14.400,leaving
172143,0.0144771584534697,1621,2017-06-21 16:39:14.850,2017-06-21 16:39:16.500,leaving
172155,2.513239364919373e-06,1621,2017-06-21 16:39:17.050,2017-06-21 16:39:17.600,leaving
172158,0.0001820621463854,1621,2017-06-21 16:39:18.050,2017-06-21 16:39:18.400,leaving
172162,6.508645973694757e-08,1621,2017-06-21 16:39:18.650,2017-06-21 16:39:19.150,leaving
172175,0.027894918546852,1621,2017-06-21 16:39:19.400,2017-06-21 16:39:20.750,leaving
172189,3.923693464716711e-05,1621,2017-06-21 16:39:21.000,2017-06-21 16:39:22.350,NV
172216,0.0958464835938092,1621,2017-06-21 16:39:24.000,2017-06-21 16:39:24.500,NV
172219,0.0020702158595083,1621,2017-06-21 16:39:24.650,2017-06-21 16:39:27.600,entering
197802,0.0671093004019145,1621,2017-06-21 17:29:38.250,2017-06-21 17:29:39.250,entering
222611,0.060028721015424,1621,2017-06-22 08:26:05.650,2017-06-22 08:26:06.550,entering
238279,0.0267488253262367,1621,2017-06-22 08:51:48.450,2017-06-22 08:51:50.100,leaving
251273,0.0555227605449689,1621,2017-06-22 09:18:42.800,2017-06-22 09:18:43.300,entering
251278,0.0121634213468296,1621,2017-06-22 09:18:43.350,2017-06-22 09:18:43.950,entering
253480,0.0431755594462918,1621,2017-06-22 09:24:47.450,2017-06-22 09:24:48.500,leaving
253488,0.0021339486544822,1621,2017-06-22 09:24:48.550,2017-06-22 09:24:49.000,leaving
269829,0.00757488142699,1621,2017-06-22 10:28:33.750,2017-06-22 10:28:33.800,entering
269830,0.2514978885537857,1621,2017-06-22 10:28:33.850,2017-06-22 10:28:34.200,entering
272344,0.23460753262043,1621,2017-06-22 10:39:17.000,2017-06-22 10:39:17.150,leaving
272351,0.0299568980175765,1621,2017-06-22 10:39:17.850,2017-06-22 10:39:19.250,leaving
286193,3.70388875126082e-08,1621,2017-06-22 11:35:33.500,2017-06-22 11:35:33.700,entering
286200,0.0008635684821824,1621,2017-06-22 11:35:33.800,2017-06-22 11:35:35.750,entering
306497,0.1652888931648704,1621,2017-06-22 13:09:22.250,2017-06-22 13:09:22.400,entering
306499,0.2438516601350784,1621,2017-06-22 13:09:22.450,2017-06-22 13:09:22.600,entering
306501,0.0015441735110131,1621,2017-06-22 13:09:22.650,2017-06-22 13:09:23.200,NV
341545,1.293229549758678e-05,1621,2017-06-22 15:05:05.950,2017-06-22 15:05:07.450,leaving
341557,1.3431779762503502e-09,1621,2017-06-22 15:05:07.550,2017-06-22 15:05:07.650,leaving
341558,7.21830275551838e-08,1621,2017-06-22 15:05:07.850,2017-06-22 15:05:07.900,leaving
341559,0.0001143395765538,1621,2017-06-22 15:05:07.900,2017-06-22 15:05:08.600,NV
341564,0.0009948324732723,1621,2017-06-22 15:05:08.850,2017-06-22 15:05:13.300,entering
372885,0.0112492131922802,1621,2017-06-22 16:14:45.050,2017-06-22 16:14:45.800,entering
422002,0.064199933817177,1621,2017-06-22 17:41:39.250,2017-06-22 17:41:40.000,entering
430214,4.111232128940172e-05,1621,2017-06-23 08:07:00.450,2017-06-23 08:07:01.100,entering
433536,0.0380543842851582,1621,2017-06-23 08:19:01.850,2017-06-23 08:19:07.400,leaving
433732,0.0045202692667777,1621,2017-06-23 08:19:32.450,2017-06-23 08:19:33.650,entering
445251,4.316876811572001e-08,1621,2017-06-23 09:05:19.800,2017-06-23 09:05:19.850,leaving
445253,7.695738952024594e-06,1621,2017-06-23 09:05:20.000,2017-06-23 09:05:20.650,leaving
456895,0.0404205357372191,1621,2017-06-23 09:34:10.600,2017-06-23 09:34:10.750,entering
456897,0.030988838750875,1621,2017-06-23 09:34:10.800,2017-06-23 09:34:12.400,entering
459110,0.0737298395542893,1621,2017-06-23 09:37:41.800,2017-06-23 09:37:41.950,leaving
473968,0.0007465794983547,1621,2017-06-23 10:08:15.850,2017-06-23 10:08:18.050,entering
491299,0.0002913270954191,1621,2017-06-23 11:06:09.300,2017-06-23 11:06:10.150,leaving
491313,1.3381573247741354e-07,1621,2017-06-23 11:06:11.050,2017-06-23 11:06:12.500,leaving
491325,0.0001436315383553,1621,2017-06-23 11:06:12.800,2017-06-23 11:06:21.650,NV
491373,1.296332751114496e-09,1621,2017-06-23 11:06:21.900,2017-06-23 11:06:22.700,NV
491383,1.8940942416601618e-07,1621,2017-06-23 11:06:23.250,2017-06-23 11:06:25.450,NV
491456,6.818369485266243e-08,1621,2017-06-23 11:06:35.000,2017-06-23 11:06:35.900,entering
491465,0.042836484844948,1621,2017-06-23 11:06:36.400,2017-06-23 11:06:36.700,NV
496510,0.0332695859211996,1621,2017-06-23 11:27:19.200,2017-06-23 11:27:24.150,leaving
503558,0.053450474457451,1621,2017-06-23 11:55:10.800,2017-06-23 11:55:11.800,entering
602217,0.0001786593507443,1621,2017-06-23 16:33:41.750,2017-06-23 16:33:42.750,leaving
602234,1.1713063570971405e-07,1621,2017-06-23 16:33:42.850,2017-06-23 16:33:43.100,leaving
617397,0.0310608613053773,1621,2017-06-23 16:47:43.500,2017-06-23 16:47:43.850,entering
617400,0.0012133360309249,1621,2017-06-23 16:47:43.900,2017-06-23 16:47:44.100,entering
650556,1.6120619228229292e-05,1621,2017-06-23 17:56:15.700,2017-06-23 17:56:16.750,leaving
668388,0.0892027405591631,1621,2017-06-24 08:49:27.200,2017-06-24 08:49:27.500,NV
